Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,0,Welterweight,170,Rafael Dos Anjos,Robbie Lawler,1,U-DEC,5,5:00,172,2,0,1,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,0,Welterweight,170,Robbie Lawler,Rafael Dos Anjos,0,U-DEC,5,5:00,86,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,1,Featherweight,145,Josh Emmett,Ricardo Lamas,1,KO/TKO  Punch,1,4:33,10,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,1,Featherweight,145,Ricardo Lamas,Josh Emmett,0,KO/TKO  Punch,1,4:33,17,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,2,Welterweight,170,Santiago Ponzinibbio,Mike Perry,1,U-DEC,3,5:00,78,3,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,2,Welterweight,170,Mike Perry,Santiago Ponzinibbio,0,U-DEC,3,5:00,51,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,3,Light Heavyweight,205,Glover Teixeira,Misha Cirkunov,1,KO/TKO  Punches,1,2:45,13,1,1,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,3,Light Heavyweight,205,Misha Cirkunov,Glover Teixeira,0,KO/TKO  Punches,1,2:45,21,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,4,Light Heavyweight,205,Jan Blachowicz,Jared Cannonier,1,U-DEC,3,5:00,50,4,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,4,Light Heavyweight,205,Jared Cannonier,Jan Blachowicz,0,U-DEC,3,5:00,26,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,5,Middleweight,185,Julian Marquez,Darren Stewart,1,SUB  Guillotine Choke,2,2:42,32,0,3,1,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,5,Middleweight,185,Darren Stewart,Julian Marquez,0,SUB  Guillotine Choke,2,2:42,33,4,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,6,Welterweight,170,Chad Laprise,Galore Bofando,1,KO/TKO  Punches,1,4:10,20,1,0,2,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,6,Welterweight,170,Galore Bofando,Chad Laprise,0,KO/TKO  Punches,1,4:10,13,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,7,Welterweight,170,Nordine Taleb,Danny Roberts,1,KO/TKO  Kick,1,0:59,5,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,7,Welterweight,170,Danny Roberts,Nordine Taleb,0,KO/TKO  Kick,1,0:59,1,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,8,Lightweight,155,Abel Trujillo,John Makdessi,0,U-DEC,3,5:00,29,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,8,Lightweight,155,John Makdessi,Abel Trujillo,1,U-DEC,3,5:00,47,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,9,Middleweight,185,Oluwale Bamgbose,Alessio Di Chirico,0,KO/TKO  Knee,2,2:14,10,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,9,Middleweight,185,Alessio Di Chirico,Oluwale Bamgbose,1,KO/TKO  Knee,2,2:14,6,1,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,10,Welterweight,170,Jordan Mein,Erick Silva,1,U-DEC,3,5:00,51,3,1,4,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Lawler vs. Dos Anjos,12/16/2017,10,Welterweight,170,Erick Silva,Jordan Mein,0,U-DEC,3,5:00,13,0,0,0,http://www.fightmetric.com/event-details/eaa0a728cc91ef60
UFC Fight Night: Swanson vs. Ortega,12/9/2017,0,Featherweight,145,Brian Ortega,Cub Swanson,1,SUB  Guillotine Choke,2,3:22,24,0,2,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,0,Featherweight,145,Cub Swanson,Brian Ortega,0,SUB  Guillotine Choke,2,3:22,60,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,1,Featherweight,145,Gabriel Benitez,Jason Knight,1,U-DEC,3,5:00,85,0,0,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,1,Featherweight,145,Jason Knight,Gabriel Benitez,0,U-DEC,3,5:00,36,1,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,2,Bantamweight,135,Marlon Moraes,Aljamain Sterling,1,KO/TKO  Knee,1,1:07,7,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,2,Bantamweight,135,Aljamain Sterling,Marlon Moraes,0,KO/TKO  Knee,1,1:07,3,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,3,Lightweight,155,Scott Holtzman,Darrell Horcher,1,U-DEC,3,5:00,49,7,0,5,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,3,Lightweight,155,Darrell Horcher,Scott Holtzman,0,U-DEC,3,5:00,36,1,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,4,Middleweight,185,Eryk Anders,Markus Perez,1,U-DEC,3,5:00,79,2,0,3,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,4,Middleweight,185,Markus Perez,Eryk Anders,0,U-DEC,3,5:00,30,2,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,5,Bantamweight,135,Benito Lopez,Albert Morales,1,U-DEC,3,5:00,78,0,1,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,5,Bantamweight,135,Albert Morales,Benito Lopez,0,U-DEC,3,5:00,78,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,6,Women's Flyweight,125,Liz Carmouche,Alexis Davis,0,S-DEC,3,5:00,49,4,0,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,6,Women's Flyweight,125,Alexis Davis,Liz Carmouche,1,S-DEC,3,5:00,23,1,2,2,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,7,Bantamweight,135,Andre Soukhamthath,Luke Sanders,1,KO/TKO  Punches,2,1:06,20,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,7,Bantamweight,135,Luke Sanders,Andre Soukhamthath,0,KO/TKO  Punches,2,1:06,23,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,8,Bantamweight,135,Carls John De Tomas,Alex Perez,0,SUB  Anaconda Choke,2,1:54,8,0,0,0,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
UFC Fight Night: Swanson vs. Ortega,12/9/2017,8,Bantamweight,135,Alex Perez,Carls John De Tomas,1,SUB  Anaconda Choke,2,1:54,24,2,3,1,http://www.fightmetric.com/event-details/bcd124bcd3d5be46
